DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.575375	57	5	1	1	6	1	1	0	1373	4	0	5.02801	0	0
UL	0.575482	57	5	1	7	6	1	1	0	1373	4	0	4.88292 	0	0
DL	0.575625	57	5	2	1	6	1	1	0	1373	4	0	4.70826	0	0
UL	0.575732	57	5	2	7	6	1	1	0	1694	5	0	4.72162 	0	0.12671
DL	0.575875	57	5	3	1	6	1	1	0	1373	4	0	4.83653	0	0
UL	0.575982	57	5	3	7	6	1	1	0	1694	5	0	4.96183 	0	0.0125603
DL	0.576125	57	6	0	1	6	1	1	0	1373	4	0	5.01833	0	0
UL	0.576232	57	6	0	7	6	1	1	0	1694	5	0	5.14479 	0	0.0125603
DL	0.576375	57	6	1	1	6	1	1	0	1373	4	0	5.01074	0	0
UL	0.576482	57	6	1	7	6	1	1	0	1373	4	0	4.97247 	0	0
DL	0.576625	57	6	2	1	6	1	1	0	1373	4	0	4.84485	0	0
UL	0.576732	57	6	2	7	6	1	1	0	1694	5	0	4.80452 	0	0.12671
DL	0.576875	57	6	3	1	6	1	1	0	1373	4	0	4.90915	0	0
UL	0.576982	57	6	3	7	6	1	1	0	1694	5	0	4.88561 	0	0.12671
DL	0.577125	57	7	0	1	6	1	1	0	1373	4	0	4.9828	0	0
UL	0.577232	57	7	0	7	6	1	1	0	1694	5	0	5.10133 	0	0.0125603
DL	0.577375	57	7	1	1	6	1	1	0	1373	4	0	4.87336	0	0
UL	0.577482	57	7	1	7	6	1	1	0	1373	4	0	4.72232 	0	0
DL	0.577625	57	7	2	1	6	1	1	0	1373	4	0	4.53573	0	0
UL	0.577732	57	7	2	7	6	1	1	0	1373	4	0	4.35936 	0	0
DL	0.577875	57	7	3	1	6	1	1	0	1373	4	0	4.19937	0	0
UL	0.577982	57	7	3	7	6	1	1	0	1694	5	0	4.04207 	1	0.993594
DL	0.578125	57	8	0	1	6	1	1	0	1373	4	0	4.14154	0	0.0315472
UL	0.578232	57	8	0	7	6	1	1	0	1373	4	0	4.07793 	0	0.0315472
DL	0.578375	57	8	1	1	6	1	1	0	1373	4	0	4.17801	0	0.0315472
UL	0.578482	57	8	1	7	6	1	1	0	1373	4	0	4.23687 	0	0
